제조사,모델명,가격(원),무게(g),크기(mm),상품 URL,이미지 URL,설명서 URL,모델 번호,카테고리,폼팩터,센서,DPI 범위,폴링레이트,버튼 수,스위치/클릭 방식,연결 방식,배터리/전원,색상,드라이버/소프트웨어 URL
SteelSeries,Aerox 5 Wireless,178500,66,,https://steelseries.com/gaming-mice/aerox-5,https://images.ctfassets.net/hmm5mo4qf4mf/Y5b4NuEOsLlGhzxCjj9Vf/697e03b1c784f66cb82b3a529964666f/aerox_5_wl_black_img_buy_01.png,,M-00025,게이밍(MMO 라이트 무선),일반형,TrueMove Air,"18,000",,7개 (좌/우클릭 + 사이드버튼 5개),,Quantum 2.0 (2.4GHz + Bluetooth 5.0),"180시간, 15분 충전 시 40시간 이상",Black,https://steelseries.com/gg
SteelSeries,Aerox 9 Wireless,389900,89,,https://steelseries.com/gaming-mice/aerox-9,https://images.ctfassets.net/hmm5mo4qf4mf/fb3tdprKJoZuAhuBmeJKh/01d2325c8fb2279d7c0b58ae90ed7f6e/aerox_9_wl_black_img_buy_01.png,,M-00028,게이밍(MMO 무선),일반형,TrueMove Air,"18,000",,18개 프로그래밍 가능 버튼,,Quantum 2.0 (2.4GHz + Bluetooth 5.0) + USB-C 유선,"180시간, 15분 충전 시 40시간 이상",Black,https://steelseries.com/gg
SteelSeries,Prime+ (유선),108000,69,,https://steelseries.com/gaming-mice/prime,https://images.ctfassets.net/hmm5mo4qf4mf/5F4pbgGB9CMGwWx67wLePT/da8f9f12428b4c694bc45593ef1b365f/buyimg_prime__001.jpg,,62490,게이밍(e스포츠 유선),일반형,TrueMove Pro+ (보조 리프트오프 센서 포함),"18,000",,,Prestige Optical Magnetic 스위치 (1억 클릭),"USB 유선 (탈착식 케이블), OLED 화면 탑재",,,https://steelseries.com/gg
SteelSeries,Sensei 310,84000,,,https://support.steelseries.com/hc/en-us/articles/360000715492-Sensei-310,,,62432,"게이밍(대칭형 유선, 구형)",일반형,,,,,,USB 유선,,,https://steelseries.com/gg
SteelSeries,Rival 310,89700,,,https://m.media-amazon.com/images/I/91DrNbBLhaL.pdf,,https://m.media-amazon.com/images/I/91DrNbBLhaL.pdf,62433,"게이밍(에르고노믹 유선, 구형)",일반형,,,,,분리형 트리거 메인 버튼,USB 유선,,,https://steelseries.com/gg
HP,HP 700 Rechargeable Wireless Mouse (Spectre),45000,104,60.5 x 39.9 x 117.9,https://www.hp.com/us-en/shop/pdp/hp-700-black-rechargeable-wireless-mouse,https://hp.com/wcsstore/hpusstore/Treatment/category/images/400-jackblack/HP-Mouse-JackBlack-Coreset-Top-573x430.png,,3NZ71AA,생산성(프리미엄 무선),일반형,멀티서피스 트래킹,"1,200 (기본값)",,8개 (7개 프로그래밍 가능) + Copilot 버튼,,2.4GHz 무선 + Bluetooth (최대 10m),"슈퍼커패시터, 3분 충전 시 최대 1개월 사용",Black,https://www.hp.com/us-en/shop/tech-takes/hp-accessory-center-app
HP,HP 920 Ergonomic Vertical Mouse,77970,,,https://www.hp.com/us-en/shop/pdp/hp-920-ergonomic-wireless-mouse,https://hp.widen.net/content/zkgspsv2hy/webp/zkgspsv2hy.png,,6H1A4AA,생산성(버티컬/인체공학),버티컬,멀티서피스 센서,"최대 4,000",,5개 프로그래밍 가능 버튼,,HP Unifying 동글 또는 Bluetooth 5.3 (최대 3대),"USB-C 충전식, 최대 16주 사용",,https://www.hp.com/us-en/shop/tech-takes/hp-accessory-center-app
HP,HP 280 Silent Wireless Mouse,61300,95,70.9 x 40.1 x 109.5,https://www.hp.com/content/dam/sites/garage-press/press/press-kits/2021/ces-2021/hp_280_silent_wireless_mouse_datasheet_us.pdf,,https://www.hp.com/content/dam/sites/garage-press/press/press-kits/2021/ces-2021/hp_280_silent_wireless_mouse_datasheet_us.pdf,19U64AA,생산성(사일런트),일반형,HP Blue Optical,"1,200",,3개 (클릭 소음 90% 감소),,2.4GHz 무선 (최대 10m),"AA 건전지 1개, 최대 18개월",Black,
HP,HP 400 Quiet Wireless Mouse,29640,,,https://www.hp.com/us-en/shop/pdp/hp-400-quiet-black-wireless-mouse-p-az7b2aa-aba-1,https://hp.widen.net/content/jtqfu5mlf3/webp/jtqfu5mlf3.png,,AZ7B4AA,생산성(보급형 사일런트),일반형,,"최대 6,000 (조절 가능)",,,,Bluetooth 또는 2.4GHz 동글,최대 24개월,"Black, Blue, Maple, Pink, Purple",
HP,HP Wired Desktop 320M Mouse,39920,76,63.4 x 35.5 x 103.8,https://pcb.inc.hp.com/dc/api/productsheet/us-en/37676389/pdf/9VA80AA.pdf,,https://pcb.inc.hp.com/dc/api/productsheet/us-en/37676389/pdf/9VA80AA.pdf,L96910-001 / L95713-0,생산성(보급형 유선),일반형,,"1,000",,3개 (휠 버튼 겸용),,USB 유선 플러그앤플레이,,,
HP,HP 925 Ergonomic Vertical Mouse,99000,,,https://www.hp.com/us-en/shop/pdp/hp-925-ergonomic-vertical-mouse,https://hp.widen.net/content/f5qvp2qutc/webp/f5qvp2qutc.png,,6H1A5AA,생산성(버티컬/인체공학),버티컬,,,,5개 프로그래밍 가능 버튼,,HP Unifying 동글 또는 Bluetooth 5.3 (최대 3대),"USB-C 충전식, 최대 16주 사용",,https://www.hp.com/us-en/shop/tech-takes/hp-accessory-center-app
Dell,Dell Mobile Wireless Mouse (MS3320W),27000,65,61 x 38.1 x 104.1,https://www.dell.com/en-us/shop/dell-mobile-wireless-mouse-ms3320w/apd/570-abgk/pc-accessories,https://i.dell.com/is/image/DellContent/content/dam/ss2/product-images/peripherals/input-devices/dell/mouse/ms3320w/global-spi/ng/dell-wireless-mouse-ms3320w-details-hero-500-ng.psd,,MS3320W,생산성(휴대용),일반형,Optical,1000/1600(기본)/2400/4000,,3개,,2.4GHz + Bluetooth 5.0 (듀얼모드),"AA 건전지, 최대 36개월",Black,
Dell,Dell Wired Mouse (MS116),27580,90,,https://www.dell.com/en-us/shop/dell-wired-mouse-ms116-black/apd/275-bbcb/pc-accessories,https://i.dell.com/is/image/DellContent/content/dam/ss2/product-images/peripherals/input-devices/dell/mouse/dell-ms116-optical-mouse-sapphire-1001a-black-hero-504x350.jpg,,MS116,생산성(보급형 유선),일반형,Optical LED,"1,000",,3개,,USB 유선 (1.8m 케이블),,"Black, White",
Lenovo,Lenovo Essential USB Mouse (4Y50R20863),7000,,,https://www.lenovo.com/us/en/p/accessories-and-software/keyboards-and-mice/mice/4y50r20863,https://p2-ofp.static.pub/fes/cms/2022/05/25/j8mfp624h7724mx9gr70e0irs6e79d351819.png,,4Y50R20863,생산성(보급형 유선),일반형,Optical,"1,600",,3개 (스크롤휠 포함),,USB 유선,,Black,
Lenovo,Lenovo Go USB-C Wireless Mouse (GY51C21210),47410,71,58.4 x 33 x 101.6,https://www.bhphotovideo.com/c/product/1728116-REG/lenovo_gy51c21210_go_usb_c_wireless_mouse.html,https://www.bhphotovideo.com/images/images500x500/lenovo_gy51c21210_go_usb_c_wireless_mouse_1663674357_1728116.jpg,,GY51C21210,생산성(컴팩트 무선),일반형,Optical,"최대 2,400",,5개 (프로그래밍 가능 사이드 버튼 포함),,2.4GHz RF (USB-C 리시버),"충전식 Li-ion, USB-C, 최대 3개월 (완충 2시간, 15분 급속충전 시 1주 사용)",Storm Gray,https://support.lenovo.com/us/en/downloads/ds550561-lenovo-go-central-for-windowsr-7-and-windows-10-64-bit
Lenovo,ThinkPad Silent Bluetooth Mouse (4Y50X88822),25000,127,76.2 x 40.6 x 149.9,https://www.bhphotovideo.com/c/product/1728115-REG/lenovo_gy50x88832_600_bluetooth_silent_mouse.html,https://www.bhphotovideo.com/images/images500x500/lenovo_gy50x88832_600_bluetooth_silent_mouse_1663673721_1728115.jpg,,4Y50X88822,생산성(사일런트),일반형,Optical,"800–2,400",,"3개 (2-way 스크롤휠, 무소음 클릭)",무소음 버튼 (300만 클릭),Bluetooth (최대 2대),"AA 건전지 1개, 최대 12개월",Iron Gray,
Lenovo,ThinkPad USB-C Wireless Compact Mouse (4Y51D20848),24000,118,101.6 x 45.7 x 137.2,https://www.bhphotovideo.com/c/product/1728119-REG/lenovo_gy51d20869_540_usb_c_compact_wireless.html,https://www.bhphotovideo.com/images/images500x500/lenovo_gy51d20869_540_usb_c_compact_wireless_1663673721_1728119.jpg,,4Y51D20848,생산성(컴팩트 무선),일반형,Optical,"800–2,400",,4개 (2-way 스크롤휠),,2.4GHz RF (USB-C 리시버),"AA 건전지 1개, 최대 18개월",Cloud Gray,
Lenovo,ThinkPad USB-C Wired Compact Mouse (4Y51D20850),14900,79,58.4 x 99 x 35.6,https://www.lenovo.com/us/en/p/accessories-and-software/keyboards-and-mice/mice/4y51d20850,https://i5.walmartimages.com/seo/Lnovo-Thinkpad-Compact-Mouse-Right-Left-handed-Optical-4-Buttons-Wired-Usb-Usb-c-Raven-Black-Oem-Thinkbk-15p-G2-Ith-Thinkcentre-M90-Thinkpad-E14-Gen_f16d046b-57d3-4cc6-96ba-9e701ce9ea59.87e4a90f92ec79e3d7a8f98bb9495df0.jpeg,,4Y51D20850,생산성(컴팩트 유선),일반형,Optical,"2,400",,4개 (스크롤휠 포함),,USB-C 유선,,Raven Black,
Lenovo,Legion M300s RGB Gaming Mouse (GY51H47350),22900,57,,https://www.connection.com/product/lenovo-legion-m300s-rgb/gy51h47350/41696908,,,GY51H47350,게이밍(경량 유선),일반형,PixArt 3327 광학 센서,"최대 8,000",,6개,기계식 스위치 (2천만 클릭),USB 2.0 유선,,Shadow Black,https://support.lenovo.com/us/en/downloads/ds539788
Lenovo,Legion M410 Wireless RGB Gaming Mouse (GY51P80851),50710,100,65 x 39 x 127.8,https://www.bhphotovideo.com/c/product/1919332-REG/lenovo_gy51p80851_legion_m410_wireless_rgb.html,https://www.bhphotovideo.com/images/images500x500/lenovo_gy51p80851_legion_m410_wireless_rgb_1759150869_1919332.jpg,,GY51P80851,게이밍(무선/유선 겸용),일반형,Optical,"400–16,000","1,000Hz",6개 프로그래밍 가능 버튼,,2.4GHz RF(USB-A 리시버) 또는 USB-C 유선,"800mAh 충전식 Li-ion, 최대 53시간(RGB 끔)",Transparent Black,https://support.lenovo.com/us/en/downloads/ds539788
Lenovo,Legion M600 Wireless Gaming Mouse (GY50X79385),52540,107,69 x 43 x 127,https://www.bhphotovideo.com/c/product/1728114-REG/lenovo_gy50x79385_legion_m600_wireless_gaming.html,https://www.bhphotovideo.com/images/images500x500/lenovo_gy50x79385_legion_m600_wireless_gaming_1663694429_1728114.jpg,,GY50X79385,게이밍(무선/유선 겸용),일반형,PixArt 3335 광학 센서,"최대 16,000",,9개 프로그래밍 가능 버튼,기계식 스위치 (5천만 클릭),"Bluetooth 5.0, 2.4GHz RF(USB-A 리시버), USB-C 유선","800mAh 충전식 Li-ion, 최대 200시간 (RGB 끔, 10분 급속충전 시 10시간)",Iron Gray/Black,https://support.lenovo.com/us/en/downloads/ds539788
Lenovo,Legion M600s Wireless Gaming Mouse (GY51H47354),146000,69,,https://www.connection.com/product/lenovo-legion-m600s-wireless-mouse/gy51h47354/41554570,,,GY51H47354,게이밍(초경량 무선),일반형,PixArt 3370 광학 센서,"최대 19,000",,6개 프로그래밍 가능 버튼,광학 스위치 (8천만 클릭),"2.4GHz RF(USB-C 리시버) + Bluetooth 5.0, 무선충전 호환",충전식 (USB-C),"Black, Gray, Storm Gray",https://support.lenovo.com/us/en/downloads/ds539788
ASUS,ROG Keris II Origin,188200,65,,https://rog.asus.com/mice-mouse-pads/mice/ergonomic-right-handed/rog-keris-ii-origin/,https://dlcdnwebimgs.asus.com/gain/F83BB6CE-9D58-4FA5-9A5D-65F91C149A94,,ROG Keris II Origin,게이밍(에르고노믹 무선),일반형,ROG AimPoint Pro 광학 센서,"최대 42,000","1,000Hz (ROG Polling Rate Booster 사용 시 최대 8,000Hz, 별매)","7개 (좌/우/휠클릭, 사이드 버튼 2개, 휠 상하)","ROG Micro Switch II (1억 클릭), Push-Fit Switch Socket II (3/5핀 호환)",2.4GHz RF(ROG Omni 리시버) + Bluetooth + USB 유선,"2.4GHz 최대 127시간(조명 끔)/82시간(기본 조명), BT 최대 192시간(조명 끔)/91시간(기본 조명)","Black, Moonlight White",https://gearlink.asus.com/en
ASUS,ROG Harpe Mini Core,39000,52,,https://rog.asus.com/mice-mouse-pads/mice/ambidextrous/rog-harpe-mini-core/,https://dlcdnwebimgs.asus.com/gain/FA05331B-7D49-466E-B208-8BAE5B90C64D,,ROG Harpe Mini Core,게이밍(소형 유선),일반형,Optical,"12,000 (편차율 3% 미만)","1,000Hz",,"ROG Micro Switch II (1억 클릭), Push-Fit 스위치 소켓(3핀 호환)",USB 유선 (ROG Paracord),,Moonlight White 등,https://gearlink.asus.com/en
ASUS,ROG Gladius III Core,148000,72,,https://rog.asus.com/mice-mouse-pads/mice/ergonomic-right-handed/rog-gladius-iii-core/,https://dlcdnwebimgs.asus.com/gain/2B6A44F5-FA49-4739-B475-F2B6BC614245,,ROG Gladius III Core,게이밍(에르고노믹 유선),일반형,Optical,"12,000 (편차율 3% 미만)","1,000Hz",,"ROG Micro Switch II (1억 클릭), Push-Fit 스위치 소켓(기계식/광학식 3핀 호환)",USB 유선 (ROG Paracord),,"Black, Moonlight White",https://gearlink.asus.com/en
ASUS,ROG Harpe Ace Mini,106000,49,57 x 37 x 117,https://rog.asus.com/mice-mouse-pads/mice/ambidextrous/rog-harpe-ace-mini/,https://dlcdnwebimgs.asus.com/gain/3E3EEEBF-D1CB-4F38-84DD-0C760D49EA76,,ROG Harpe Ace Mini,게이밍(초소형 무선),일반형,ROG AimPoint Pro 광학 센서,"100–42,000 (편차율 1% 미만)","최대 8,000Hz (ROG Polling Rate Booster 사용 시, 별매)","5개 (좌/우클릭, 휠, 전/후진)",ROG 광학 마이크로 스위치 (1억 클릭),트라이모드: USB 유선 + 2.4GHz RF + Bluetooth,"BT 최대 139시간(조명 끔)/113시간(기본 조명), 2.4GHz 최대 105시간(조명 끔)/79시간(기본 조명)","Black, Moonlight White",https://gearlink.asus.com/en
ASUS,ASUS TUF Gaming M3 Gen II,26500,59,68 x 40 x 123,https://www.asus.com/accessories/mice-and-mouse-pads/tuf-gaming/asus-tuf-gaming-m3-gen-ii/,https://dlcdnwebimgs.asus.com/gain/5498db05-e543-495a-959e-fd54226bbb34/,,M3 Gen II,게이밍(보급형 유선),일반형,Optical (편차율 3% 미만),"100–8,000 (4단계 즉시 전환)","1,000Hz",6개 프로그래밍 가능 버튼,기계식 스위치 (6천만 클릭),USB 2.0 유선,,Black,
ASUS,ASUS SmartO Mouse MD200 Silent Plus,154350,85,71 x 42.3 x 114.5,https://www.asus.com/accessories/mice-and-mouse-pads/asus-mouse-and-mouse-pad/asus-smarto-mouse-md200-silent-plus/,https://dlcdnwebimgs.asus.com/gain/02a8ae45-9b35-474e-937f-442d6c6087e0/,,MD200,"생산성(사일런트, 멀티디바이스)",일반형,,"최대 4,200",,6개 (사이드 버튼 2개 포함),무소음 클릭 (1천만 클릭),"2.4GHz RF(동글) + Bluetooth, 최대 4대 연결","AA 건전지 1개, 최대 1년 사용","Green Tea Latte, Oat Milk, Secret Black",
ASUS,ASUS Marshmallow Mouse MD100 Lite,34900,56,,https://www.asus.com/accessories/mice-and-mouse-pads/asus-mouse-and-mouse-pad/asus-marshmallow-mouse-md100-lite/,https://dlcdnwebimgs.asus.com/gain/9341da75-1f6a-44e6-84e1-cc7d9f4fce89/w800,,MD100 Lite,생산성(보급형 무선),일반형,,"800/1,000/1,600",,,기계식 스위치 (1천만 클릭),2.4GHz RF(동글) + Bluetooth 5.0,"AA 건전지 1개, 최대 1년 사용","Oat Milk, Green Tea Latte, Quiet Blue, Solar Blue, Lilac Purple, Brave Green",
ASUS,ASUS MW203 Multi-Device Wireless Silent Mouse,52900,,,https://www.asus.com/accessories/mice-and-mouse-pads/asus-mouse-and-mouse-pad/asus-mw203-multi-device-wireless-silent-mouse/,,,MW203,"생산성(사일런트, 멀티디바이스)",일반형,,"1,000/1,600/2,400",,좌/우/사이드 버튼 + DPI 전환 버튼,무소음 클릭 (1천만 클릭),"Bluetooth 5.0/3.0 + 2.4GHz RF, 최대 3대 동시 연결","오토슬립 기능 포함, 최대 13개월 사용",,
ASUS,MW201C BT & 2.4GHz Wireless Mouse,28800,,,https://www.asus.com/accessories/mice-and-mouse-pads/asus-mouse-and-mouse-pad/mw201c-bt-2-4ghz-wireless-mouse/,https://dlcdnwebimgs.asus.com/gain/77efb098-149a-4c33-9545-071d6ea35349/,,MW201C,생산성(듀얼모드 무선),일반형,Optical,"800/1,200/1,600 (기본 1,200)",,,,Bluetooth 4.0 + 2.4GHz RF (듀얼모드),,,
Rapoo,Rapoo VT9Pro,98900,68,67.1 x 38.7 x 124.8,https://shop.rapoo.com/products/rapoo-vt9-pro-wireless-gaming-mouse,https://shop.rapoo.com/cdn/shop/files/VT9PRP-1K-BK.png,,VT9PRO,게이밍(무선/유선 겸용),일반형,PixArt PAW3398 광학 센서,"50–26,000","1,000Hz(1K) 또는 4,000Hz(4K, 버전별)",11개 프로그래밍 가능 버튼,"Omron 스위치 (5천만 클릭), C+Click 기술",2.4GHz 무선(RAPOO V+) + USB-C 유선,"800mAh, 최대 160시간, 2~3시간 완충","Black, White, Black & Purple",https://shop.rapoo.com/pages/software-download
Rapoo,Rapoo VT1 Pro Max,53850,59,62 x 38 x 119,https://shop.rapoo.com/products/rapoo-vt1-pro-max-wireless-gaming-mouse,https://shop.rapoo.com/cdn/shop/files/VT1PRO_MAX-BK_1.png,,VT1 PRO MAX,게이밍(무선/유선 겸용),일반형,PixArt PAW3950 광학 센서,"50–30,000 (확장 시 최대 45,000)","유선 8,000Hz / 무선 4,000Hz","8개 (사이드 2, DPI 버튼 2)",Omron 기계식 스위치 (6천만 클릭),USB-C 유선 + RAPOO V+ 무선(2.4GHz),"800mAh 충전식, 1,000Hz 기준 최대 200시간","Black, White",https://shop.rapoo.com/pages/software-download
Rapoo,Rapoo VT9 MAX Gen-2,87400,53,65 x 39 x 125,https://shop.rapoo.com/products/rapoo-vt9-max-gen-2-wireless-gaming-mouse-ultra-lightweight,https://shop.rapoo.com/cdn/shop/files/VT9-PL_1.png,,VT9 MAX Gen 2,게이밍(경량 무선),일반형,PixArt PAW3950 광학 센서(45K),"10–45,000","최대 8,000Hz (유무선 공통)",10개 프로그래밍 가능 버튼,광학 스위치 (1억2천만 클릭),2.4GHz 무선 + USB-C 유선,"800mAh, 1,000Hz 기준 최대 750시간","Violet, White, Black",https://shop.rapoo.com/pages/software-download
Rapoo,Rapoo MT760 Pro,141880,110,81 x 47 x 125,https://shop.rapoo.com/products/rapoo-mt760-pro-nearlink-multi-device-wireless-mouse,https://shop.rapoo.com/cdn/shop/files/1.1_5a008a65-dfbd-471f-a1d6-c9e7f0fbfdea.png,,MT760 PRO,생산성(프리미엄 멀티디바이스),일반형,12K 광학 센서,"800–12,000 (7단계, 50단위 조절)","125–2,000Hz",11개 프로그래밍 가능 버튼,,"NearLink + Bluetooth 5.0(최대 3대) + USB-C 유선, 최대 7대 연결","800mAh, 최대 120일 사용, 5분 급속충전 시 하루 사용, Qi 무선충전 호환(모듈 별매)","Gray, Black",https://shop.rapoo.com/pages/software-download
Rapoo,Rapoo MT550,43900,79,69 x 43 x 103,https://shop.rapoo.com/products/rapoo-mt550-multi-device-wireless-optical-mouse,https://shop.rapoo.com/cdn/shop/files/mt550_4bef17f8-3944-4c21-853c-06f0ae082918.png,,MT550,생산성(보급형 멀티디바이스),일반형,PAW3220,"800/1,000/1,200/1,600/2,400/3,200/4,000",,9개 (사이드 버튼 2개 포함),,Bluetooth 3.0/4.0 + 2.4GHz USB (최대 4대),"500mAh, 약 100시간(최대 12개월), USB-C 충전",Black,
Rapoo,Rapoo MT560,49000,83,70 x 44 x 106,https://shop.rapoo.com/products/rapoo-mt560-multi-mode-wireless-mouse,https://shop.rapoo.com/cdn/shop/files/MT560-1_fa973ac7-cfe5-4695-8ad8-7b831abf73a4.png,,MT560,생산성(멀티디바이스),일반형,PAW3220 광학 센서,"800/1,000/1,120/1,600/2,400/3,200/4,000",,10개 프로그래밍 가능 버튼,,"Bluetooth 5.0 + 2.4GHz + 유선, 최대 5대 연결","800mAh 충전식, 최대 150~160시간(2.4GHz), USB-C 완충 약 3시간","Black, Beige, Cerulean, Light Pink, Mint Green",https://shop.rapoo.com/pages/software-download
Rapoo,Rapoo M100 Silent,25800,55,61 x 38 x 98,https://www.rapoo-eu.com/product/m100-silent/,,,M100G,"생산성(사일런트, 멀티디바이스)",일반형,Optical,"1,300 (고정)",,3개,무소음 클릭,"Bluetooth 3.0/4.0/5.0 + 2.4GHz(나노 리시버), 최대 3대","AA 건전지 1개, 최대 9개월 사용","Dark Grey, Light Grey, Blue, Red, Pink",
Rapoo,Rapoo M10 Plus,12130,55,61 x 38 x 98,https://www.rapoo-eu.com/product/m10-plus/,,,M10 PLUS,생산성(보급형 무선),일반형,Optical,"1,000",,3개,,2.4GHz 무선 (나노 USB 리시버),"AA 건전지 1개, 최대 12개월 사용","Black, White, Red, Blue",
A4Tech,A4Tech Bloody V7M,66900,140,,https://www.bloody.com/en/product.php?pid=10&id=107,,,V7M,게이밍(유선),일반형,Optical Engine,"최대 6,000","125~1,000Hz",8개 (좌클릭 3-Shooting Mode 포함),기계식 (1천만 클릭),USB 유선 (케이블 1.8m),,Black,https://www.bloody.com/en/software.php?id=6
A4Tech,A4Tech Bloody V8M Max,34220,,,https://www.bloody.com/en/product.php?pid=10&id=363,,,V8M MAX,게이밍(유선),일반형,MAX BC3332-A 12K 센서,"100–12,000","125~2,000Hz",,기계식 (2천만 클릭),USB 유선,,,https://www.bloody.com/en/software.php?id=6
A4Tech,A4Tech Bloody A70,73600,,,https://www.bloody.com/en/product.php?pid=10&id=137,,,A70,"게이밍(유선, 라이트스트라이크)",일반형,BC3332-A 게이밍 엔진,"100–12,000","125~2,000Hz",,"마이크로 스위치 (2천만 클릭, 응답 0.2ms)",USB 유선,,"Black, Matte Black",https://www.bloody.com/en/software.php?id=6
A4Tech,A4Tech Bloody L65 Max,39900,78,,https://www.bloody.com/en/product.php?pid=10&id=295,,,L65 MAX,게이밍(경량 유선),일반형,MAX BC3332-A 12K 센서,"100–12,000","125~2,000Hz",,기계식 (2천만 클릭),USB 유선 (브레이드 케이블),,"Sky Pink, Honeycomb, Royal Violet, Stone Black",https://www.bloody.com/en/software.php?id=6
